,player_id,alt_player_id,player_name,school,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception
52785,104822,4360797,Tutu Atwell,Louisville,140.0,46.666666666666664,70.0,24.0,2307.0,769.0,1276.0,406.0,35.0,7.0,12.0,2.0,48.699999999999996,16.23333333333333,18.2,13.6,209.0,69.66666666666667,90.0,53.0
53386,104779,4372485,Rondale Moore,Purdue,178.0,59.333333333333336,114.0,29.0,1915.0,638.3333333333334,1258.0,270.0,28.0,5.6,12.0,0.0,32.0,10.666666666666666,13.3,7.7,173.0,57.666666666666664,70.0,33.0
53836,105302,4371986,Anthony Schwartz,Auburn,117.0,39.0,54.0,22.0,1433.0,477.6666666666667,636.0,357.0,9.0,1.8,3.0,1.0,38.7,12.9,16.2,10.7,217.0,72.33333333333333,91.0,50.0
53911,104781,4241424,Tylan Wallace,Oklahoma State,205.0,51.25,86.0,7.0,3434.0,858.5,1491.0,118.0,46.0,7.666666666666667,12.0,0.0,66.8,16.7,17.3,15.6,240.0,60.0,90.0,39.0
54150,104759,4258173,Nico Collins,Michigan,78.0,26.0,38.0,3.0,1388.0,462.6666666666667,729.0,27.0,26.0,5.2,7.0,0.0,45.3,15.1,19.7,9.0,141.0,47.0,76.0,13.0
54372,105167,4043016,D'Wayne Eskridge,Western Michigan,122.0,24.4,38.0,3.0,2260.0,452.0,784.0,73.0,22.0,2.75,8.0,0.0,91.80000000000001,18.360000000000003,24.3,7.1,276.0,55.2,85.0,14.0
54684,104917,4259499,Shi Smith,South Carolina,174.0,43.5,57.0,29.0,2204.0,551.0,673.0,409.0,22.0,3.142857142857143,4.0,2.0,51.6,12.9,15.0,11.1,217.0,54.25,75.0,36.0
55228,105274,4361577,Dyami Brown,North Carolina,123.0,41.0,55.0,17.0,2306.0,768.6666666666666,1099.0,173.0,34.0,6.8,12.0,1.0,50.5,16.833333333333332,20.3,10.2,174.0,58.0,87.0,21.0
55564,104764,4240432,Sage Surratt,Wake Forest,107.0,53.5,66.0,41.0,1582.0,791.0,1001.0,581.0,30.0,7.5,11.0,4.0,29.4,14.7,15.2,14.2,113.0,56.5,70.0,43.0
56192,104812,4035692,Tyler Vaughns,USC,222.0,55.5,74.0,33.0,2801.0,700.25,912.0,406.0,37.0,5.285714285714286,6.0,3.0,50.39999999999999,12.599999999999998,14.2,11.6,181.0,45.25,49.0,42.0
56438,104818,4035386,Osirus Mitchell,Mississippi State,107.0,26.75,47.0,5.0,1413.0,353.25,505.0,51.0,24.0,4.0,6.0,0.0,52.099999999999994,13.024999999999999,16.4,10.2,180.0,45.0,84.0,18.0
56584,105283,4374302,Amon-Ra St. Brown,USC,178.0,59.333333333333336,77.0,41.0,2270.0,756.6666666666666,1042.0,478.0,25.0,5.0,7.0,3.0,37.7,12.566666666666668,13.5,11.7,196.0,65.33333333333333,95.0,48.0
56862,105197,4047836,Frank Darby,Arizona State,67.0,16.75,31.0,6.0,1317.0,329.25,616.0,46.0,25.0,3.5714285714285716,8.0,1.0,73.60000000000001,18.400000000000002,26.0,7.7,202.0,50.5,72.0,15.0
57125,104830,4043158,T.J. Vasher,Texas Tech,146.0,29.2,54.0,2.0,1983.0,396.6,687.0,9.0,40.0,5.0,7.0,0.0,60.199999999999996,12.04,18.8,4.5,171.0,34.2,60.0,6.0
57278,104798,4039307,Marquez Stevenson,Houston,147.0,36.75,75.0,0.0,2269.0,567.25,1019.0,36.0,40.0,6.666666666666667,9.0,0.0,46.4,11.6,17.4,0.0,262.0,65.5,96.0,36.0
57472,104836,4256040,Warren Jackson,Colorado State,124.0,41.333333333333336,77.0,15.0,1789.0,596.3333333333334,1119.0,265.0,28.0,4.666666666666667,8.0,2.0,44.9,14.966666666666667,17.7,12.7,151.0,50.333333333333336,87.0,24.0
57679,104831,4240028,Tamorrion Terry,Florida State,118.0,39.333333333333336,60.0,23.0,2221.0,740.3333333333334,1188.0,289.0,35.0,7.0,9.0,1.0,53.7,17.900000000000002,21.3,12.6,217.0,72.33333333333333,91.0,48.0
58057,105290,4371974,Seth Williams,Auburn,132.0,44.0,59.0,26.0,2124.0,708.0,830.0,534.0,30.0,6.0,8.0,4.0,50.8,16.933333333333334,20.5,14.1,168.0,56.0,62.0,48.0
58217,104790,4240573,Ihmir Smith-Marsette,Iowa,110.0,27.5,44.0,18.0,1615.0,403.75,722.0,187.0,24.0,3.4285714285714284,5.0,2.0,56.3,14.075,16.4,10.4,202.0,50.5,60.0,31.0
58510,105171,4036026,Dez Fitzpatrick,Louisville,154.0,38.5,45.0,31.0,2589.0,647.25,833.0,422.0,39.0,5.571428571428571,9.0,3.0,66.6,16.65,19.4,13.6,247.0,61.75,82.0,43.0
58705,105292,4360739,Simi Fehoko,Stanford,62.0,20.666666666666668,37.0,1.0,1146.0,382.0,574.0,6.0,15.0,3.75,6.0,0.0,45.1,15.033333333333333,23.6,6.0,132.0,44.0,79.0,6.0
58864,104837,4242433,Josh Palmer,Tennessee,99.0,24.75,34.0,9.0,1514.0,378.5,484.0,98.0,10.0,1.6666666666666667,4.0,0.0,59.699999999999996,14.924999999999999,21.0,10.9,140.0,35.0,53.0,18.0
59117,104864,4240895,Jhamon Ausbon,Texas A&M,147.0,49.0,66.0,31.0,1818.0,606.0,872.0,375.0,16.0,3.2,5.0,0.0,36.7,12.233333333333334,13.2,11.4,105.0,35.0,41.0,26.0
59245,104865,4046686,Javon McKinley,Notre Dame,53.0,26.5,42.0,11.0,985.0,492.5,717.0,268.0,11.0,3.6666666666666665,4.0,3.0,41.5,20.75,24.4,17.1,118.0,59.0,65.0,53.0
59359,104848,4240577,Brandon Smith,Iowa,88.0,29.333333333333332,37.0,23.0,1031.0,343.6666666666667,439.0,231.0,16.0,3.2,5.0,2.0,34.8,11.6,12.9,10.0,83.0,27.666666666666668,34.0,19.0
59927,105179,4035656,Ben Skowronek,Notre Dame,139.0,27.8,45.0,8.0,1856.0,371.2,644.0,70.0,21.0,3.0,5.0,0.0,62.50000000000001,12.500000000000002,15.1,8.8,205.0,41.0,73.0,14.0
60929,105203,4035465,Cornell Powell,Clemson,93.0,18.6,53.0,5.0,1211.0,242.2,882.0,57.0,13.0,1.8571428571428572,7.0,0.0,51.7,10.34,16.6,7.1,170.0,34.0,70.0,14.0
61026,104880,4034860,JD Spielman,TCU,175.0,43.75,66.0,5.0,2602.0,650.5,898.0,56.0,30.0,4.285714285714286,8.0,0.0,57.0,14.25,18.3,11.2,237.0,59.25,77.0,20.0
61682,105188,4242231,Racey McMath,LSU,33.0,11.0,17.0,2.0,522.0,174.0,285.0,42.0,7.0,1.75,3.0,0.0,51.699999999999996,17.23333333333333,21.0,13.9,113.0,37.666666666666664,60.0,23.0
62371,105308,4240661,Dazz Newsome,North Carolina,188.0,47.0,72.0,18.0,2435.0,608.75,1018.0,227.0,30.0,5.0,10.0,0.0,50.900000000000006,12.725000000000001,14.1,11.5,241.0,60.25,75.0,54.0
62716,105310,4362107,Brennan Eagles,Texas,61.0,20.333333333333332,32.0,1.0,1026.0,342.0,522.0,35.0,17.0,4.25,6.0,0.0,68.1,22.7,35.0,16.3,167.0,55.666666666666664,73.0,35.0
63031,105214,4363409,Austin Watkins,UAB,98.0,32.666666666666664,57.0,7.0,1642.0,547.3333333333334,1092.0,82.0,15.0,3.75,6.0,0.0,44.7,14.9,19.2,11.7,147.0,49.0,67.0,24.0
63334,105318,4373642,Dax Milne,BYU,101.0,33.666666666666664,70.0,10.0,1542.0,514.0,1188.0,69.0,14.0,2.8,8.0,1.0,37.5,12.5,17.0,6.9,123.0,41.0,78.0,9.0
63688,105326,4362352,Isaiah McKoy,Kent State,124.0,41.333333333333336,57.0,25.0,1748.0,582.6666666666666,870.0,423.0,27.0,5.4,8.0,3.0,43.599999999999994,14.533333333333331,18.2,10.1,228.0,76.0,78.0,75.0
64809,105435,4243830,Jaelon Darden,North Texas,230.0,57.5,76.0,32.0,2782.0,695.5,1190.0,281.0,57.0,8.142857142857142,19.0,3.0,46.6,11.65,16.1,8.8,217.0,54.25,75.0,28.0
65220,105442,4245131,Tim Jones,Southern Mississippi,150.0,37.5,73.0,5.0,2011.0,502.75,902.0,121.0,14.0,2.0,4.0,1.0,64.69999999999999,16.174999999999997,24.2,12.1,263.0,65.75,74.0,51.0
65349,105446,4250864,Dai'Jean Dixon,Nicholls,140.0,46.666666666666664,53.0,35.0,2280.0,760.0,1013.0,514.0,49.0,7.0,8.0,5.0,48.400000000000006,16.133333333333336,19.5,14.2,156.0,52.0,57.0,44.0
65952,105458,4241053,Jonathan Adams Jr.,Arkansas State,166.0,41.5,79.0,8.0,2306.0,576.5,1111.0,77.0,30.0,4.285714285714286,12.0,1.0,53.1,13.275,15.7,9.6,173.0,43.25,63.0,23.0
66372,105464,4258170,Tarik Black,Texas,50.0,12.5,25.0,4.0,747.0,186.75,323.0,35.0,5.0,0.8333333333333334,1.0,0.0,59.2,14.8,24.0,8.8,169.0,42.25,72.0,15.0
