,player_id,alt_player_id,player_name,school,Total Total Tackles,Mean Total Tackles,Highest Total Tackles,Lowest Total Tackles,Total Solo Tackles,Mean Solo Tackles,Highest Solo Tackles,Lowest Solo Tackles,Total Assist Tackles,Mean Assist Tackles,Highest Assist Tackles,Lowest Assist Tackles,Total Passes Defended,Mean Passes Defended,Highest Passes Defended,Lowest Passes Defended,Total Sacks,Mean Sacks,Highest Sacks,Lowest Sacks,Total Forced Fumbles,Mean Forced Fumbles,Highest Forced Fumbles,Lowest Forced Fumbles,Total Interceptions,Mean Interceptions,Highest Interceptions,Lowest Interceptions,Total Interception Yards,Mean Interception Yards,Highest Interception Yards,Lowest Interception Yards,Total Interception Touchdowns,Mean Interception Touchdowns,Highest Interception Touchdowns,Lowest Interception Touchdowns
40859,104679,4035505,Daniel Thomas,Auburn,191.0,47.75,74.0,16.0,122.0,30.5,47.0,10.0,69.0,17.25,27.0,6.0,7.0,1.75,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.75,2.0,0.0,5.0,1.25,2.0,0.0,58.0,14.5,29.0,0.0,1.0,0.25,1.0,0.0
40904,104121,4037584,Bryce Hall,Virginia,154.0,38.5,62.0,20.0,98.0,24.5,39.0,13.0,56.0,14.0,23.0,7.0,34.0,8.5,21.0,0.0,4.0,1.0,2.0,0.0,3.0,0.75,2.0,0.0,5.0,1.25,2.0,0.0,51.0,12.75,36.0,-4.0,0.0,0.0,0.0,0.0
41092,104225,4036651,Kindle Vildor,Georgia Southern,94.0,23.5,42.0,5.0,72.0,18.0,31.0,3.0,22.0,5.5,11.0,2.0,25.0,6.25,12.0,0.0,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,9.0,2.25,4.0,0.0,36.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0
42852,104170,4036213,Antoine Brooks Jr.,Maryland,235.0,58.75,85.0,5.0,171.0,42.75,67.0,4.0,64.0,16.0,24.0,1.0,9.0,2.25,5.0,0.0,3.5,0.875,2.5,0.0,1.0,0.25,1.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42888,104178,4040613,Jordan Fuller,Ohio State,224.0,56.0,81.0,11.0,167.0,41.75,61.0,7.0,57.0,14.25,20.0,4.0,10.0,2.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.5,3.0,0.0,81.0,20.25,51.0,0.0,0.0,0.0,0.0,0.0
43280,104146,4046537,Josh Metellus,Michigan,188.0,47.0,74.0,15.0,108.0,27.0,41.0,8.0,80.0,20.0,33.0,7.0,13.0,3.25,5.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.25,3.0,0.0,104.0,26.0,104.0,0.0,1.0,0.25,1.0,0.0
43857,104694,4242154,Kamren Curl,Arkansas,175.0,58.333333333333336,76.0,46.0,105.0,35.0,46.0,27.0,70.0,23.333333333333332,30.0,14.0,15.0,5.0,8.0,2.0,2.0,0.6666666666666666,2.0,0.0,3.0,1.0,2.0,0.0,2.0,0.6666666666666666,2.0,0.0,22.0,7.333333333333333,22.0,0.0,0.0,0.0,0.0,0.0
44071,104483,4240575,Geno Stone,Iowa,126.0,42.0,70.0,17.0,80.0,26.666666666666668,46.0,5.0,46.0,15.333333333333334,24.0,10.0,7.0,2.3333333333333335,4.0,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,3.0,0.0,6.0,2.0,4.0,1.0,43.0,14.333333333333334,24.0,0.0,1.0,0.3333333333333333,1.0,0.0
44232,104695,4046353,Stantley Thomas-Oliver III,Florida International,94.0,47.0,54.0,40.0,65.0,32.5,42.0,23.0,29.0,14.5,17.0,12.0,18.0,9.0,10.0,8.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,23.0,11.5,23.0,0.0,0.0,0.0,0.0,0.0
44344,104696,4371737,Chris Claybrooks,Memphis,54.0,27.0,42.0,12.0,43.0,21.5,33.0,10.0,11.0,5.5,9.0,2.0,3.0,1.5,2.0,1.0,0.5,0.25,0.5,0.0,1.0,0.5,1.0,0.0,2.0,1.0,1.0,1.0,37.0,18.5,37.0,0.0,1.0,0.5,1.0,0.0
44809,104704,4038538,Vernon Scott,TCU,86.0,28.666666666666668,44.0,6.0,58.0,19.333333333333332,29.0,4.0,28.0,9.333333333333334,15.0,2.0,10.0,3.3333333333333335,7.0,0.0,1.0,0.3333333333333333,1.0,0.0,2.0,0.6666666666666666,2.0,0.0,2.0,0.6666666666666666,1.0,0.0,98.0,32.666666666666664,98.0,0.0,1.0,0.3333333333333333,1.0,0.0
44845,104705,4040652,Thakarius Keyes,Tulane,95.0,23.75,47.0,2.0,76.0,19.0,35.0,2.0,19.0,4.75,12.0,0.0,14.0,3.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44926,104389,3895791,Dane Jackson,Pittsburgh,148.0,37.0,47.0,18.0,113.0,28.25,38.0,9.0,35.0,8.75,13.0,4.0,39.0,9.75,14.0,4.0,1.5,0.375,1.0,0.0,4.0,1.0,4.0,0.0,4.0,1.0,2.0,0.0,67.0,16.75,26.0,0.0,1.0,0.25,1.0,0.0
45185,104708,4043605,Chris Jackson,Marshall,189.0,47.25,62.0,25.0,110.0,27.5,40.0,17.0,79.0,19.75,31.0,8.0,36.0,9.0,15.0,0.0,2.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,7.0,1.75,3.0,1.0,200.0,50.0,108.0,21.0,1.0,0.25,1.0,0.0
45693,104138,4046538,Lavert Hill,Michigan,57.0,14.25,25.0,2.0,37.0,9.25,15.0,2.0,20.0,5.0,10.0,0.0,21.0,5.25,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.5,3.0,0.0,70.0,17.5,25.0,0.0,2.0,0.5,1.0,0.0
45913,104502,3916926,Javaris Davis,Auburn,146.0,36.5,43.0,29.0,112.0,28.0,33.0,19.0,34.0,8.5,14.0,4.0,25.0,6.25,7.0,6.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,2.0,133.0,33.25,72.0,0.0,1.0,0.25,1.0,0.0
46270,104485,4037216,Essang Bassey,Wake Forest,228.0,57.0,75.0,19.0,162.0,40.5,53.0,16.0,66.0,16.5,23.0,3.0,45.0,11.25,16.0,3.0,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,5.0,1.25,3.0,0.0,31.0,7.75,30.0,0.0,1.0,0.25,1.0,0.0
46324,104205,4038437,A.J. Green,Oklahoma State,147.0,36.75,49.0,2.0,118.0,29.5,39.0,1.0,29.0,7.25,10.0,1.0,21.0,5.25,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,6.0,1.5,4.0,0.0,92.0,23.0,65.0,0.0,1.0,0.25,1.0,0.0
47312,104512,4034849,Lamar Jackson,Nebraska,117.0,29.25,40.0,11.0,87.0,21.75,30.0,9.0,30.0,7.5,11.0,2.0,22.0,5.5,12.0,0.0,1.0,0.25,1.0,0.0,3.0,0.75,2.0,0.0,5.0,1.25,3.0,0.0,12.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0
47913,104440,4240024,Stanford Samuels III,Florida State,145.0,48.333333333333336,60.0,27.0,94.0,31.333333333333332,37.0,20.0,51.0,17.0,23.0,7.0,16.0,5.333333333333333,7.0,4.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,8.0,2.6666666666666665,4.0,2.0,30.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0
48487,104460,4240624,Trajan Bandy,Miami,89.0,29.666666666666668,36.0,25.0,59.0,19.666666666666668,25.0,14.0,30.0,10.0,11.0,8.0,22.0,7.333333333333333,8.0,6.0,3.0,1.0,3.0,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,3.0,0.0,78.0,26.0,65.0,0.0,1.0,0.3333333333333333,1.0,0.0
48658,104157,4040963,Shyheim Carter,Alabama,101.0,25.25,44.0,7.0,57.0,14.25,27.0,2.0,44.0,11.0,19.0,3.0,18.0,4.5,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,3.0,0.75,2.0,0.0,89.0,22.25,89.0,0.0,2.0,0.5,2.0,0.0
48778,104532,4240912,Debione Renfro,Texas A&M,123.0,41.0,53.0,33.0,93.0,31.0,40.0,21.0,30.0,10.0,13.0,5.0,14.0,4.666666666666667,5.0,4.0,1.5,0.5,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49389,104033,4039010,Myles Bryant,Washington,190.0,47.5,68.0,4.0,122.0,30.5,43.0,3.0,68.0,17.0,25.0,1.0,16.0,4.0,8.0,1.0,4.5,1.125,3.5,0.0,3.0,0.75,1.0,0.0,4.0,1.0,3.0,0.0,67.0,16.75,35.0,0.0,1.0,0.25,1.0,0.0
49443,104169,4046680,Jalen Elliott,Notre Dame,167.0,41.75,67.0,13.0,93.0,23.25,36.0,7.0,74.0,18.5,31.0,6.0,11.0,2.75,7.0,0.0,0.5,0.125,0.5,0.0,1.0,0.25,1.0,0.0,6.0,1.5,4.0,0.0,68.0,17.0,66.0,0.0,0.0,0.0,0.0,0.0
49515,104627,4035402,Chris Miller,Baylor,177.0,44.25,76.0,6.0,123.0,30.75,54.0,4.0,54.0,13.5,22.0,2.0,6.0,1.5,2.0,0.0,1.0,0.25,1.0,0.0,3.0,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49690,104540,4035389,Grayland Arnold,Baylor,107.0,26.75,46.0,6.0,82.0,20.5,33.0,6.0,25.0,6.25,13.0,0.0,13.0,3.25,7.0,0.0,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,7.0,1.75,6.0,0.0,138.0,34.5,118.0,0.0,0.0,0.0,0.0,0.0
49753,104241,4035173,Nigel Warrior,Tennessee,239.0,59.75,83.0,22.0,141.0,35.25,42.0,19.0,98.0,24.5,41.0,3.0,13.0,3.25,9.0,0.0,1.0,0.25,1.0,0.0,3.0,0.75,3.0,0.0,5.0,1.25,4.0,0.0,172.0,43.0,102.0,0.0,1.0,0.25,1.0,0.0
50004,104624,4243250,Javelin Guidry,Utah,120.0,40.0,48.0,31.0,82.0,27.333333333333332,36.0,21.0,38.0,12.666666666666666,16.0,10.0,19.0,6.333333333333333,9.0,4.0,0.5,0.16666666666666666,0.5,0.0,1.0,0.3333333333333333,1.0,0.0,3.0,1.0,1.0,1.0,14.0,4.666666666666667,14.0,0.0,1.0,0.3333333333333333,1.0,0.0
50274,104398,4040975,Jared Mayden,Alabama,82.0,20.5,59.0,1.0,44.0,11.0,31.0,1.0,38.0,9.5,28.0,0.0,6.0,1.5,3.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,54.0,13.5,54.0,0.0,0.0,0.0,0.0,0.0
50654,104149,3929819,David Dowell,Michigan State,167.0,41.75,59.0,3.0,100.0,25.0,39.0,1.0,67.0,16.75,30.0,2.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,8.0,2.0,5.0,0.0,108.0,27.0,78.0,0.0,0.0,0.0,0.0,0.0
50847,104661,3929034,Nevelle Clarke,UCF,107.0,26.75,46.0,14.0,92.0,23.0,38.0,11.0,15.0,3.75,8.0,0.0,29.0,7.25,13.0,2.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.25,2.0,0.0,48.0,12.0,48.0,0.0,1.0,0.25,1.0,0.0
51545,104736,4372012,Patrick Surtain II,Alabama,111.0,37.0,42.0,32.0,78.0,26.0,32.0,18.0,33.0,11.0,14.0,9.0,25.0,8.333333333333334,10.0,7.0,0.0,0.0,0.0,0.0,4.0,1.3333333333333333,3.0,0.0,4.0,1.3333333333333333,2.0,1.0,69.0,23.0,25.0,20.0,1.0,0.3333333333333333,1.0,0.0
51658,104938,4362847,Jaycee Horn,South Carolina,101.0,33.666666666666664,45.0,16.0,69.0,23.0,30.0,10.0,32.0,10.666666666666666,15.0,6.0,23.0,7.666666666666667,9.0,6.0,3.0,1.0,2.0,0.0,2.0,0.6666666666666666,2.0,0.0,2.0,0.6666666666666666,2.0,0.0,34.0,11.333333333333334,34.0,0.0,0.0,0.0,0.0,0.0
51685,104751,4240859,Caleb Farley,Virginia Tech,56.0,28.0,36.0,20.0,43.0,21.5,29.0,14.0,13.0,6.5,7.0,6.0,19.0,9.5,12.0,7.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,2.0,14.0,7.0,14.0,0.0,1.0,0.5,1.0,0.0
51735,104755,4362487,Trevon Moehrig,TCU,124.0,41.333333333333336,62.0,15.0,85.0,28.333333333333332,43.0,12.0,39.0,13.0,19.0,3.0,21.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,2.0,0.0,7.0,2.3333333333333335,4.0,1.0,90.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0
52320,105268,4361266,Greg Newsome II,Northwestern,71.0,23.666666666666668,36.0,12.0,55.0,18.333333333333332,28.0,8.0,16.0,5.333333333333333,8.0,4.0,24.0,8.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52731,105143,4363034,Asante Samuel Jr.,Florida State,93.0,31.0,48.0,15.0,69.0,23.0,34.0,13.0,24.0,8.0,14.0,2.0,29.0,9.666666666666666,14.0,6.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,3.0,0.0,74.0,24.666666666666668,74.0,0.0,0.0,0.0,0.0,0.0
53120,104784,4243328,Elijah Molden,Washington,153.0,38.25,79.0,19.0,100.0,25.0,49.0,10.0,53.0,13.25,30.0,5.0,19.0,4.75,12.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,5.0,1.25,4.0,0.0,69.0,17.25,45.0,0.0,0.0,0.0,0.0,0.0
53272,105187,4042119,Richie Grant,UCF,290.0,72.5,108.0,32.0,189.0,47.25,68.0,24.0,101.0,25.25,40.0,8.0,18.0,4.5,8.0,2.0,1.0,0.25,1.0,0.0,6.0,1.5,2.0,1.0,10.0,2.5,6.0,0.0,104.0,26.0,40.0,0.0,1.0,0.25,1.0,0.0
53494,104753,4373809,Jevon Holland,Oregon,108.0,54.0,66.0,42.0,71.0,35.5,40.0,31.0,37.0,18.5,26.0,11.0,10.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.5,5.0,4.0,72.0,36.0,64.0,8.0,1.0,0.5,1.0,0.0
53611,104824,4361939,Andre Cisco,Syracuse,136.0,45.333333333333336,65.0,11.0,94.0,31.333333333333332,46.0,7.0,42.0,14.0,24.0,4.0,14.0,4.666666666666667,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.0,13.0,4.333333333333333,7.0,1.0,143.0,47.666666666666664,67.0,29.0,1.0,0.3333333333333333,1.0,0.0
53647,104842,4379397,Tyson Campbell,Georgia,86.0,28.666666666666668,45.0,15.0,55.0,18.333333333333332,29.0,9.0,31.0,10.333333333333334,16.0,6.0,9.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,40.0,13.333333333333334,40.0,0.0,0.0,0.0,0.0,0.0
53710,105166,4240401,Ifeatu Melifonwu,Syracuse,89.0,29.666666666666668,55.0,14.0,72.0,24.0,42.0,14.0,17.0,5.666666666666667,13.0,0.0,21.0,7.0,8.0,6.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53791,105145,4259561,Eric Stokes,Georgia,78.0,26.0,38.0,20.0,60.0,20.0,30.0,14.0,18.0,6.0,8.0,4.0,22.0,7.333333333333333,9.0,4.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,4.0,0.0,94.0,31.333333333333332,94.0,0.0,2.0,0.6666666666666666,2.0,0.0
54219,105213,4258206,Benjamin St-Juste,Minnesota,62.0,20.666666666666668,45.0,3.0,50.0,16.666666666666668,36.0,3.0,12.0,4.0,9.0,0.0,13.0,4.333333333333333,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
